,ATL,LAX,ORD,DFW,DEN,JFK,SFO,SEA,MCO,LAS,CLT,EWR,PHX,IAH,MIA,BOS,MSP,DTW,FLL,PHL,LGA,BWI,SLC,SAN,IAD,DCA,TPA,MDW,HNL,PDX,BNA,AUS,DAL,STL,SJC,HOU,RDU,MSY,OAK,SMF,MCI,SNA,RSW,SAT,CLE,IND,PIT,SJU,CVG,CMH
CLT,0.02,0.0040086005422080954,0.0057313265401514445,0.003343367299242779,0.0031387304851827618,0.005802748434140413,0.0025896045620267365,0.0023335514630270166,0.004590071982798915,0.002282041693932879,0.0005092202161776933,0.0032448350004674205,0.0020950733850612323,0.003070533794521829,0.0019904646162475464,0.0028997382443675794,0.002685612788632327,0.00254117977002898,0.0016767317939609236,0.0014947181452743762,0.0021583621576142845,0.0024737776946807516,0.0017989623258857625,0.00118173319622324,0.0016626624287183322,0.0010821725717490886,0.0010209404505936244,0.0009408245302421239,0.0,0.0009152098719267084,0.0008341591100308498,0.0007944283443956249,0.0,0.0007245021968776292,0.0,0.0003298588389268019,0.0006456950546882305,0.000641114331120875,0.0,0.0006027858278021876,0.0005373469196971114,0.0,0.00047106665420211275,0.0004693839394222679,0.0006848649153968403,0.00043787977937739553,0.0004370384219874731,0.0004246985136019445,0.0006164345143498176,0.00038842666168084514
EWR,0.0175,0.0040086005422080954,0.0057313265401514445,0.005015050948864168,0.0031387304851827618,0.0,0.0025896045620267365,0.0035003271945405253,0.0022950359913994577,0.0011410208469664394,0.0033908105076189588,0.00016691649839648416,0.0041901467701224646,0.0010235112648406095,0.0029856969243713194,0.0019331588295783862,0.0017904085257548848,0.0016941198466859867,0.0016767317939609236,0.0014947181452743762,0.0,0.0006184444236701879,0.0005996541086285875,0.00059086659811162,0.0005542208095727774,0.0005410862858745443,0.0010209404505936244,0.0009408245302421239,0.0004624193699167991,0.0004576049359633542,0.0012512386650462746,0.0007944283443956249,0.0,0.0007245021968776292,0.0,0.0003298588389268019,0.00032284752734411523,0.0016027858278021875,0.0,0.0,0.0002686734598485557,0.00024072169767224455,0.00047106665420211275,0.00023469196971113396,0.00022828830513228009,0.00021893988968869777,0.00021851921099373656,0.0004246985136019445,0.00041095634289987844,0.00019421333084042257
PHX,0.022500000000000003,0.01202580162662429,0.0057313265401514445,0.005015050948864168,0.010985556698139666,0.005802748434140413,0.005179209124053473,0.004667102926054033,0.003442553987099187,0.004564083387865758,0.002260540338412639,0.004326446667289895,0.0009698301460981114,0.003070533794521829,0.0019904646162475464,0.0028997382443675794,0.004476021314387212,0.0033882396933719735,0.003353463587921847,0.0029894362905487524,0.0,0.0018553332710105636,0.00239861643451435,0.00236346639244648,0.0005542208095727774,0.0010821725717490886,0.0015314106758904365,0.00047041226512106195,0.0013872581097503973,0.0022880246798167706,0.0004170795550154249,0.0011916425165934374,0.0,0.0010867532953164438,0.0014351687388987568,0.0006597176778536039,0.00032284752734411523,0.0003205571655604375,0.0012227727400205665,0.0009041787417032813,0.0008060203795456671,0.0009628867906889782,0.0,0.0007040759091334019,0.00022828830513228009,0.0006568196690660932,0.0006555576329812096,0.0,0.0,0.0005826399925212677
IAH,0.022500000000000003,0.01002150135552024,0.007641768720201926,0.005015050948864168,0.004708095727774143,0.0,0.0025896045620267365,0.0035003271945405253,0.0022950359913994577,0.002282041693932879,0.0033908105076189588,0.0010816116668224737,0.0031426100775918484,0.0013718968998693432,0.0029856969243713194,0.0009665794147891931,0.002685612788632327,0.00254117977002898,0.0008383658969804618,0.002242077217911564,0.0014389081050761897,0.0006184444236701879,0.001199308217257175,0.00059086659811162,0.0005542208095727774,0.0005410862858745443,0.0005104702252968122,0.0,0.0004624193699167991,0.0004576049359633542,0.0004170795550154249,0.00039721417219781244,0.0003771618210713285,0.0003622510984388146,0.0003587921847246892,0.0,0.00032284752734411523,0.00128222866224175,0.0,0.0003013929139010938,0.0002686734598485557,0.00024072169767224455,0.00023553332710105637,0.00023469196971113396,0.00022828830513228009,0.00021893988968869777,0.00021851921099373656,0.00021234925680097225,0.00041095634289987844,0.00019421333084042257
MIA,0.03,0.008017201084416191,0.0057313265401514445,0.003343367299242779,0.004708095727774143,0.00435206132560531,0.003884406843040105,0.0023335514630270166,0.0022950359913994577,0.002282041693932879,0.002260540338412639,0.0032448350004674205,0.0020950733850612323,0.003070533794521829,0.0002697939185176387,0.0019331588295783862,0.002685612788632327,0.00254117977002898,0.0,0.0014947181452743762,0.0021583621576142845,0.0018553332710105636,0.0,0.00118173319622324,0.0016626624287183322,0.0010821725717490886,0.0010209404505936244,0.0,0.0,0.0,0.0008341591100308498,0.0,0.0,0.0007245021968776292,0.0,0.0,0.0006456950546882305,0.0016027858278021875,0.0,0.0,0.0,0.0,0.0,0.0,0.00045657661026456017,0.00043787977937739553,0.0004370384219874731,0.0004246985136019445,0.00041095634289987844,0.00038842666168084514
BOS,0.0175,0.014030101897728338,0.00955221090025241,0.006686734598485558,0.004708095727774143,0.005802748434140413,0.003884406843040105,0.0035003271945405253,0.004590071982798915,0.002282041693932879,0.0033908105076189588,0.0021632233336449473,0.0031426100775918484,0.0010235112648406095,0.0019904646162475464,0.0004064491032189097,0.0017904085257548848,0.0016941198466859867,0.0016767317939609236,0.002242077217911564,0.0021583621576142845,0.0018553332710105636,0.0005996541086285875,0.0017725997943348604,0.0011084416191455549,0.001623258857623633,0.0005104702252968122,0.0009408245302421239,0.0,0.0013728148078900626,0.0004170795550154249,0.00039721417219781244,0.0,0.0003622510984388146,0.0003587921847246892,0.0006597176778536039,0.0006456950546882305,0.000641114331120875,0.0,0.0,0.0002686734598485557,0.0,0.00023553332710105637,0.0,0.00022828830513228009,0.00021893988968869777,0.0006555576329812096,0.00021234925680097225,0.00020547817144993922,0.00019421333084042257
MSP,0.0175,0.014030101897728338,0.00955221090025241,0.008358418248106946,0.009416191455548286,0.0029013742170702064,0.006474011405066841,0.005833878657567543,0.004590071982798915,0.0034230625408993177,0.0033908105076189588,0.0021632233336449473,0.006285220155183697,0.003070533794521829,0.0029856969243713194,0.0019331588295783862,0.0002496282218790831,0.0008470599233429934,0.0008383658969804618,0.002242077217911564,0.0007194540525380949,0.0012368888473403758,0.0005996541086285875,0.0017725997943348604,0.0011084416191455549,0.002164345143498177,0.0005104702252968122,0.0018816490604842478,0.0,0.0004576049359633542,0.0004170795550154249,0.00039721417219781244,0.0,0.0010867532953164438,0.0003587921847246892,0.0,0.00032284752734411523,0.00128222866224175,0.00030569318500514163,0.0003013929139010938,0.0008060203795456671,0.00024072169767224455,0.00047106665420211275,0.00023469196971113396,0.00045657661026456017,0.00021893988968869777,0.00021851921099373656,0.0,0.00020547817144993922,0.00019421333084042257
DTW,0.02,0.006012900813312145,0.007641768720201926,0.006686734598485558,0.007846826212956903,0.0014506871085351032,0.0012948022810133682,0.0011667757315135083,0.0022950359913994577,0.0034230625408993177,0.0033908105076189588,0.0021632233336449473,0.0041901467701224646,0.003070533794521829,0.0029856969243713194,0.0019331588295783862,0.0008952042628774424,0.0033034119254068185,0.0016767317939609236,0.002242077217911564,0.0028778162101523795,0.0018553332710105636,0.0005996541086285875,0.00118173319622324,0.0011084416191455549,0.001623258857623633,0.0010209404505936244,0.0014112367953631859,0.0,0.0009152098719267084,0.0008341591100308498,0.00039721417219781244,0.0,0.0007245021968776292,0.0,0.0,0.00032284752734411523,0.00128222866224175,0.0,0.0,0.0002686734598485557,0.0,0.00047106665420211275,0.00023469196971113396,0.00022828830513228009,0.00021893988968869777,0.00021851921099373656,0.00021234925680097225,0.00020547817144993922,0.00019421333084042257
FLL,0.02,0.006012900813312145,0.007641768720201926,0.005015050948864168,0.0062774609703655235,0.0029013742170702064,0.005179209124053473,0.0011667757315135083,0.003442553987099187,0.002282041693932879,0.002260540338412639,0.0021632233336449473,0.0041901467701224646,0.0010235112648406095,0.0,0.0019331588295783862,0.0008952042628774424,0.0016941198466859867,0.00010697470008314529,0.002242077217911564,0.0021583621576142845,0.0018553332710105636,0.0,0.0,0.0005542208095727774,0.001623258857623633,0.0025523511264840607,0.00047041226512106195,0.0,0.0,0.0004170795550154249,0.0011916425165934374,0.0,0.0003622510984388146,0.0,0.0006597176778536039,0.0009685425820323456,0.000641114331120875,0.0,0.0,0.0002686734598485557,0.0,0.0,0.0,0.00022828830513228009,0.00021893988968869777,0.00021851921099373656,0.000849397027203889,0.00020547817144993922,0.00019421333084042257
PHL,0.022500000000000003,0.006012900813312145,0.0057313265401514445,0.005015050948864168,0.007846826212956903,0.0014506871085351032,0.005179209124053473,0.0035003271945405253,0.004590071982798915,0.004564083387865758,0.002260540338412639,0.0021632233336449473,0.0041901467701224646,0.003070533794521829,0.0019904646162475464,0.0028997382443675794,0.002685612788632327,0.00254117977002898,0.003353463587921847,0.0009377598289583086,0.0014389081050761897,0.0012368888473403758,0.0017989623258857625,0.00118173319622324,0.0005542208095727774,0.0010821725717490886,0.0015314106758904365,0.0009408245302421239,0.0,0.0009152098719267084,0.0012512386650462746,0.0007944283443956249,0.0,0.0010867532953164438,0.0,0.0,0.0009685425820323456,0.000641114331120875,0.0,0.0,0.0005373469196971114,0.0,0.0007065999813031691,0.0004693839394222679,0.00045657661026456017,0.00043787977937739553,0.0004370384219874731,0.0004246985136019445,0.0006164345143498176,0.00038842666168084514
